id	term	count
2816	oriented	7
2817	recommended	7
2818	academia	7
2819	pso	7
2820	gate	7
2821	readable	7
2822	adaptable	7
2823	aggregation	7
2824	srl	7
2825	convey	7
2826	coordinate	7
2827	pan	7
2828	stopwords	7
2829	icu	7
2830	bel	7
2831	bankruptcy	7
2832	induced	7
2833	affixation	7
2834	microrna	7
2835	co-training	7
2836	high-order	7
2837	ntcir	7
2838	biocuration	7
2839	osteoporosis	7
2840	pref	7
2841	multi-words	7
2842	neuroscience	7
2843	neurotext	7
2844	pace	6
2845	portion	6
2846	modify	6
2847	coherent	6
2848	manuscript	6
2849	slrs	6
2850	se	6
2851	up-to-date	6
2852	maximizing	6
2853	missed	6
2854	reviewed	6
2855	accessed	6
2856	ever-increasing	6
2857	rp	6
2858	citing	6
2859	belongs	6
2860	managing	6
2861	inappropriate	6
2862	dialogue	6
2863	downstream	6
2864	deep-learning	6
2865	microsoft	6
2866	indexed	6
2867	suite	6
2868	vary	6
2869	fall	6
2870	relate	6
2871	lr	6
2872	valid	6
2873	poll	6
2874	dl	6
2875	stopword	6
2876	entertainment	6
2877	concentrate	6
2878	japan	6
2879	skewed	6
2880	vi	6
2881	couple	6
2882	analyzer	6
2883	ugc	6
2884	glove	6
2885	holistic	6
2886	targeting	6
2887	fit	6
2888	ultimate	6
2889	older	6
2890	pertaining	6
2891	unusual	6
2892	therein	6
2893	suffers	6
2894	powered	6
2895	assisted	6
2896	referring	6
2897	numeric	6
2898	inflectional	6
2899	enriching	6
2900	automating	6
2901	searched	6
2902	divergence	6
2903	shed	6
2904	avoiding	6
2905	expect	6
2906	tough	6
2907	syntactically	6
2908	similarly	6
2909	iteration	6
2910	relates	6
2911	trace	6
2912	granular	6
2913	tamil	6
2914	managed	6
2915	lightweight	6
2916	labelling	6
2917	extremist	6
2918	islamic	6
2919	isi	6
2920	crm	6
2921	humanity	6
2922	resume	6
2923	examining	6
2924	tone	6
2925	approached	6
2926	somewhat	6
2927	voting	6
2928	devoted	6
2929	bibliometric	6
2930	protection	6
2931	language-dependent	6
2932	ba	6
2933	threefold	6
2934	clinician	6
2935	nonetheless	6
2936	sub-tasks	6
2937	ensuring	6
2938	brain	6
2939	tayside	6
2940	begin	6
2941	atom	6
2942	rest	6
2943	kg	6
2944	lifting	6
2945	immense	6
2946	attempted	6
2947	differently	6
2948	offered	6
2949	conflation	6
2950	perfect	6
2951	unbalanced	6
2952	lay	6
2953	locating	6
2954	richer	6
2955	recommend	6
2956	offline	6
2957	aggregating	6
2958	varied	6
2959	interview	6
2960	home	6
2961	gradually	6
2962	micro	6
2963	decreasing	6
2964	imbalance	6
2965	micro-blogging	6
2966	negatively	6
2967	tcp-gwo	6
2968	discussing	6
2969	pdf	6
2970	subtask	6
2971	incorporation	6
2972	careful	6
2973	heritage	6
2974	revenue	6
2975	tfidf	6
2976	k-nn	6
2977	print	6
2978	contract	6
2979	equivalence	6
2980	swn	6
2981	trying	6
2982	psychological	6
2983	displayed	6
2984	reliably	6
2985	experienced	6
2986	html	6
2987	unprecedented	6
2988	kernel-based	6
2989	refine	6
2990	hour	6
2991	synthetic	6
2992	preferred	6
2993	shorter	6
2994	force	6
2995	humorous	6
2996	leveraged	6
2997	broader	6
2998	os	6
2999	continues	6
3000	attention-based	6
3001	validity	6
3002	toolkits	6
3003	versus	6
3004	speech-acts	6
3005	sarcastic	6
3006	ehrs	6
3007	l	6
3008	norm	6
3009	centre	6
3010	miner	6
3011	mark	6
3012	termed	6
3013	rumour	6
3014	multi-layer	6
3015	taiwan	6
3016	solves	6
3017	formally	6
3018	gathering	6
3019	batch	6
3020	beginning	6
3021	economics	6
3022	associative	6
3023	revolution	6
3024	incremental	6
3025	credibility	6
3026	awareness	6
3027	instant	6
3028	he	6
3029	ordered	6
3030	sensor	6
3031	imperative	6
3032	stable	6
3033	invention	6
3034	ar	6
3035	recovery	6
3036	convenient	6
3037	tried	6
3038	vulnerability	6
3039	competing	6
3040	upper	6
3041	compliant	6
3042	poorly	6
3043	adverb	6
3044	failing	6
3045	radial	6
3046	belief	6
3047	implies	6
3048	distinguishing	6
3049	sens	6
3050	modifier	6
3051	competition	6
3052	drive	6
3053	varies	6
3054	polysemy	6
3055	si	6
3056	morphologically	6
3057	civil	6
3058	smoking	6
3059	abstractive	6
3060	flat	6
3061	constituent	6
3062	soft	6
3063	coupled	6
3064	som	6
3065	yielded	6
3066	actionable	6
3067	undertaken	6
3068	sociedad	6
3069	para	6
3070	el	6
3071	procesamiento	6
3072	del	6
3073	lenguaje	6
3074	gibbs	6
3075	urban	6
3076	snowball	6
3077	partitioning	6
3078	proportion	6
3079	fbow	6
3080	multiword	6
3081	orthographic	6
3082	cnns	6
3083	ppi	6
3084	formalism	6
3085	nibp	6
3086	mixed	6
3087	pain	6
3088	multimodal	6
3089	instrument	6
3090	sm	6
3091	chronic	6
3092	standardized	6
3093	payment	6
3094	committee	6
3095	knowing	6
3096	outbreak	6
3097	barr	6
3098	returned	6
3099	semantics-based	6
3100	formulate	6
3101	lucene	6
3102	encountered	6
3103	asian	6
3104	eq	6
3105	clir	6
3106	auxiliary	6
3107	spammer	6
3108	partial	6
3109	misunderstanding	6
3110	landscape	6
3111	acceptance	6
3112	appears	6
3113	dr	6
3114	explained	6
3115	agricultural	6
3116	micro-texts	6
3117	strictly	6
3118	connecting	6
3119	department	6
3120	sparql	6
3121	curator	6
3122	weight-lda	6
3123	catchphrase	6
3124	telecommunication	6
3125	injury	6
3126	pico	6
3127	ask	6
3128	closed	6
3129	tutorial	6
3130	tacit	6
3131	reduplication	6
3132	cws	6
3133	lattice	6
3134	anaphora	6
3135	lbd	6
3136	faq	6
3137	funding	6
3138	liwc	6
3139	hyponymy	6
3140	minimally-supervised	6
3141	emm	6
3142	u-compare	6
3143	drug-drug	6
3144	adc	6
3145	cludipso	6
3146	chi-square	6
3147	conceptlink	6
3148	advancing	5
3149	owing	5
3150	worse	5
3151	lexrank	5
3152	inconsistent	5
3153	wish	5
3154	concludes	5
3155	velocity	5
3156	usa	5
3157	occurs	5
3158	verbatim	5
3159	king	5
3160	fixed-length	5
3161	handled	5
3162	deployment	5
3163	algorithmic	5
3164	facilitating	5
3165	accomplished	5
3166	intend	5
3167	illustrative	5
3168	playing	5
3169	relevancy	5
3170	similarity-based	5
3171	deeply	5
3172	instagram	5
3173	influenced	5
3174	college	5
3175	bridging	5
3176	exactly	5
3177	sold	5
3178	buyer	5
3179	fibo	5
3180	transportation	5
3181	commodity	5
3182	vanilla	5
3183	max	5
3184	optimum	5
3185	rf	5
3186	lowest	5
3187	pathology	5
3188	lm	5
3189	well-studied	5
3190	headline	5
3191	hate	5
3192	character-based	5
3193	income	5
3194	preprocessed	5
3195	simpler	5
3196	tedious	5
3197	mapreduce	5
3198	regularity	5
3199	trouble	5
3200	protect	5
3201	parkinson	5
3202	ignores	5
3203	depict	5
3204	condensed	5
3205	divide	5
3206	ehealth	5
3207	multi-objective	5
3208	agglutinative	5
3209	gram	5
3210	idiom	5
3211	replace	5
3212	infrequent	5
3213	nearly	5
3214	slide	5
3215	informativeness	5
3216	saying	5
3217	mismatch	5
3218	fewer	5
3219	corresponds	5
3220	establishment	5
3221	inductive	5
3222	complemented	5
3223	inquiry	5
3224	saving	5
3225	vice	5
3226	versa	5
3227	promoting	5
3228	propaganda	5
3229	outstanding	5
3230	machine-readable	5
3231	contemporary	5
3232	raise	5
3233	gruyter	5
3234	visualized	5
3235	demanding	5
3236	heterogeneity	5
3237	utilise	5
3238	highlighted	5
3239	imdb	5
3240	lingual	5
3241	illustrates	5
3242	late	5
3243	encoding	5
3244	coming	5
3245	semi-automatic	5
3246	causing	5
3247	microblogs	5
3248	essentially	5
3249	long-short	5
3250	org	5
3251	variability	5
3252	move	5
3253	tuples	5
3254	catalogue	5
3255	arxiv	5
3256	formalized	5
3257	owl	5
3258	deduce	5
3259	tlms	5
3260	crypto-asset	5
3261	utilising	5
3262	utilised	5
3263	marathi	5
3264	dealt	5
3265	approximation	5
3266	twitch	5
3267	subscription	5
3268	apart	5
3269	explosion	5
3270	kappa	5
3271	flood	5
3272	resilience	5
3273	par	5
3274	bacteria	5
3275	constantly	5
3276	verified	5
3277	slovak	5
3278	participated	5
3279	checking	5
3280	whereby	5
3281	session	5
3282	biased	5
3283	cutting	5
3284	rental	5
3285	ignore	5
3286	compositional	5
3287	intensifier	5
3288	essence	5
3289	violence	5
3290	encourage	5
3291	con	5
3292	connective	5
3293	truly	5
3294	conceived	5
3295	semi-automatically	5
3296	convolution	5
3297	heavy	5
3298	minority	5
3299	acoustic	5
3300	minimize	5
3301	gsw	5
3302	severe	5
3303	located	5
3304	multilayer	5
3305	replacing	5
3306	equation	5
3307	tripadvisor	5
3308	experimented	5
3309	newsgroups	5
3310	eclipse	5
3311	investigates	5
3312	synonymous	5
3313	sacred	5
3314	high-throughput	5
3315	codified	5
3316	predominantly	5
3317	bringing	5
3318	tends	5
3319	elicitation	5
3320	motivating	5
3321	specially	5
3322	verbal	5
3323	influential	5
3324	qc	5
3325	consensus	5
3326	triage	5
3327	prioritizing	5
3328	heart	5
3329	mathematics	5
3330	australia	5
3331	chance	5
3332	exam	5
3333	trip	5
3334	comprising	5
3335	agglomerative	5
3336	ppdb	5
3337	w	5
3338	prerequisite	5
3339	contrastive	5
3340	semi	5
3341	spatio-temporal	5
3342	twofold	5
3343	scraping	5
3344	indispensable	5
3345	grouped	5
3346	cent	5
3347	immediate	5
3348	align	5
3349	endeavor	5
3350	internationally	5
3351	stronger	5
3352	marketer	5
3353	biking	5
3354	server	5
3355	pragmatic	5
3356	viable	5
3357	adjustment	5
3358	entirely	5
3359	wrong	5
3360	western	5
3361	imply	5
3362	criminal	5
3363	demonstration	5
3364	visualisation	5
3365	osns	5
3366	adaboost	5
3367	focal	5
3368	micro-blogs	5
3369	intrusion	5
3370	actively	5
3371	interpretable	5
3372	privacy	5
3373	regulation	5
3374	priori	5
3375	remain	5
3376	inability	5
3377	merit	5
3378	density	5
3379	imposes	5
3380	kansei	5
3381	consecutive	5
3382	queried	5
3383	nanomaterial	5
3384	compatible	5
3385	subspace	5
3386	gidb	5
3387	hotspot	5
3388	malaysia	5
3389	grading	5
3390	portability	5
3391	spent	5
3392	filling	5
3393	treating	5
3394	sts	5
3395	decreased	5
3396	samsung	5
3397	nokia	5
3398	ctm	5
3399	realized	5
3400	reviewing	5
3401	therapy	5
3402	fiction	5
3403	mi	5
3404	revealing	5
3405	premise	5
3406	birndl	5
3407	lawyer	5
3408	cessation	5
3409	comprehend	5
3410	normalize	5
3411	motivates	5
3412	tc	5
3413	gesture	5
3414	word-based	5
3415	larcm	5
3416	customization	5
3417	altogether	5
3418	differentiate	5
3419	scholar	5
3420	española	5
3421	turning	5
3422	arise	5
3423	instantiation	5
3424	planned	5
3425	initialization	5
3426	refugee	5
3427	overlapped	5
3428	irregular	5
3429	intrinsic	5
3430	sought	5
3431	tradaboost	5
3432	infinite	5
3433	europe	5
3434	econometric	5
3435	intuition	5
3436	delivering	5
3437	schedule	5
3438	accompanied	5
3439	finite	5
3440	appearing	5
3441	automotive	5
3442	tac	5
3443	legitimate	5
3444	cf-idf	5
3445	iteratively	5
3446	pa	5
3447	supervisor	5
3448	specification	5
3449	embed	5
3450	selfies	5
3451	handout	5
3452	coder	5
3453	openly	5
3454	executing	5
3455	vp	5
3456	nli	5
3457	pregnancy	5
3458	explains	5
3459	yake	5
3460	flexibly	5
3461	browse	5
3462	mbti	5
3463	designated	5
3464	inflation	5
3465	onto	5
3466	uniform	5
3467	room	5
3468	centered	5
3469	happen	5
3470	noisy-free	5
3471	ssl	5
3472	gc	5
3473	crude	5
3474	sign	5
3475	morgan	5
3476	claypool	5
3477	constitutes	5
3478	consulting	5
3479	proliferation	5
3480	correspondence	5
3481	ovca	5
3482	serbian	5
3483	linearly	5
3484	hand-over	5
3485	toy	5
3486	smoke	5
3487	vfs	5
3488	inform	5
3489	lpis	5
3490	voting-based	5
3491	reciprocal	5
3492	lagging	5
3493	assistive	5
3494	player	5
3495	textflows	5
3496	archaeological	5
3497	comprehension	5
3498	paid	5
3499	location-based	5
3500	htem	5
3501	reuse	5
3502	formulation	5
3503	np	5
3504	umls	5
3505	compounding	5
3506	interval	5
3507	bootstrap	5
3508	harder	5
3509	msa	5
3510	nurse	5
3511	normalisation	5
3512	disambiguated	5
3513	njst	5
3514	dnjst	5
3515	ibminer	5
3516	mre	5
3517	lccs	5
3518	intranet	5
3519	cm	5
3520	uima	5
3521	flickr	5
3522	part-whole	5
3523	apartment	5
3524	memm	5
3525	hal	5
3526	bre	5
3527	crctol	5
3528	inferential	5
3529	pns	5
3530	poster	5
3531	text mining	1149
3532	natural language	768
3533	based on	725
3534	language processing	592
3535	sentiment analysis	434
3536	is a	389
3537	of a	374
3538	in a	359
3539	of text	318
3540	a a	313
3541	used to	283
3542	social medium	279
3543	machine learning	270
3544	information retrieval	261
3545	number of	254
3546	set of	250
3547	in order	227
3548	order to	224
3549	is to	220
3550	use of	219
3551	mining and	206
3552	propose a	206
3553	analysis of	200
3554	right reserved	200
3555	on a	199
3556	amount of	195
3557	named entity	190
3558	international publishing	182
3559	and text	181
3560	a well	180
3561	approach to	176
3562	in text	175
3563	to extract	174
3564	well a	171
3565	performance of	170
3566	of information	168
3567	a novel	167
3568	part of	161
3569	due to	152
3570	to a	149
3571	focus on	145
3572	and a	144
3573	used in	141
3574	of word	141
3575	neural network	140
3576	type of	139
3577	of data	135
3578	to identify	134
3579	analysis and	132
3580	information extraction	131
3581	a text	130
3582	is used	130
3583	processing and	129
3584	term of	128
3585	proposed method	127
3586	a set	126
3587	entity recognition	122
3588	in term	121
3589	mining technique	119
3590	according to	118
3591	related to	118
3592	in addition	116
3593	to improve	115
3594	nature switzerland	115
3595	switzerland ag	115
3596	text and	114
3597	data mining	113
3598	text document	113
3599	text classification	111
3600	proposed approach	111
3601	in natural	111
3602	field of	111
3603	data and	109
3604	data set	107
3605	of natural	106
3606	task of	105
3607	problem of	104
3608	to find	103
3609	representation of	101
3610	able to	100
3611	applied to	100
3612	approach is	100
3613	of document	99
3614	is based	99
3615	and natural	99
3616	aim to	98
3617	method to	98
3618	social network	98
3619	text data	97
3620	and information	95
3621	opinion mining	95
3622	deep learning	91
3623	compared to	91
3624	question answering	91
3625	publishing ag	91
3626	analysis is	90
3627	topic model	90
3628	form of	90
3629	technique to	89
3630	process of	89
3631	development of	89
3632	biomedical text	87
3633	to analyze	87
3634	quality of	87
3635	model is	86
3636	publishing switzerland	86
3637	support vector	84
3638	mining is	84
3639	is not	83
3640	effectiveness of	82
3641	short text	82
3642	vector machine	81
3643	system is	81
3644	to detect	79
3645	of sentiment	79
3646	big data	79
3647	method is	79
3648	is proposed	78
3649	application of	78
3650	of social	78
3651	to evaluate	77
3652	accuracy of	77
3653	collection of	76
3654	and to	76
3655	textual data	75
3656	method and	75
3657	combination of	74
3658	in many	74
3659	topic modeling	73
3660	information in	72
3661	by a	72
3662	word and	72
3663	model and	71
3664	of semantic	71
3665	proposed model	70
3666	of topic	70
3667	and sentiment	70
3668	word in	70
3669	model to	69
3670	text summarization	68
3671	evaluation of	68
3672	used a	68
3673	proposes a	68
3674	to automatically	68
3675	information and	68
3676	aspect of	67
3677	to address	67
3678	technique and	67
3679	retrieval and	67
3680	extraction of	66
3681	semantic similarity	66
3682	area of	66
3683	document and	66
3684	extraction and	65
3685	a document	65
3686	need to	64
3687	role in	64
3688	data is	63
3689	text is	63
3690	ha become	62
3691	overview of	62
3692	task in	62
3693	to provide	62
3694	feature selection	62
3695	corpus of	62
3696	classification of	62
3697	source of	61
3698	of research	60
3699	provides a	60
3700	learning algorithm	60
3701	case study	60
3702	method of	60
3703	f score	59
3704	to generate	59
3705	doe not	59
3706	variety of	59
3707	data in	59
3708	provide a	58
3709	a given	57
3710	consists of	57
3711	to determine	57
3712	a number	56
3713	and machine	56
3714	of user	56
3715	in particular	56
3716	nature singapore	56
3717	singapore pte	56
3718	pte ltd	56
3719	semantic web	56
3720	learning method	55
3721	information is	55
3722	proposed system	55
3723	and semantic	55
3724	recent year	55
3725	experiment on	55
3726	of textual	55
3727	to predict	54
3728	a method	54
3729	mining application	54
3730	biomedical literature	53
3731	content of	53
3732	algorithm is	53
3733	to build	53
3734	level of	53
3735	in recent	53
3736	training data	53
3737	to develop	53
3738	volume of	53
3739	to achieve	53
3740	research area	53
3741	a significant	53
3742	language and	53
3743	of biomedical	53
3744	approach and	52
3745	to obtain	52
3746	text analysis	52
3747	processing technique	52
3748	proposed to	51
3749	feature of	51
3750	algorithm and	51
3751	word embeddings	51
3752	ability to	50
3753	context of	50
3754	kind of	50
3755	in different	50
3756	to discover	50
3757	to capture	50
3758	purpose of	50
3759	algorithm to	49
3760	to support	49
3761	similarity measure	49
3762	a specific	49
3763	growth of	49
3764	knowledge base	49
3765	system and	49
3766	relation extraction	49
3767	of online	48
3768	to understand	48
3769	of different	48
3770	to make	48
3771	entity and	48
3772	unstructured text	48
3773	study of	48
3774	to classify	48
3775	sentiment classification	48
3776	keyword extraction	48
3777	feature and	48
3778	method in	48
3779	identification of	48
3780	corpus and	48
3781	a system	47
3782	search engine	47
3783	and in	47
3784	and data	47
3785	importance of	47
3786	to use	47
3787	range of	46
3788	in social	46
3789	text in	46
3790	of knowledge	46
3791	detection of	46
3792	learning and	46
3793	attempt to	46
3794	a semantic	46
3795	learning technique	45
3796	language text	45
3797	not only	45
3798	lack of	44
3799	proposed framework	44
3800	news article	44
3801	state of	44
3802	mining method	44
3803	semantic relation	44
3804	of feature	44
3805	naïve bayes	44
3806	list of	44
3807	learning approach	44
3808	understanding of	44
3809	to represent	44
3810	knowledge discovery	44
3811	of scientific	43
3812	aim of	43
3813	document clustering	43
3814	research in	43
3815	unstructured data	43
3816	classification and	43
3817	difficult to	43
3818	concept and	43
3819	a sentiment	43
3820	document collection	43
3821	to perform	42
3822	to solve	42
3823	application in	42
3824	work is	42
3825	mean of	42
3826	focused on	42
3827	precision and	42
3828	to text	42
3829	random field	42
3830	written in	42
3831	and opinion	42
3832	a challenging	41
3833	customer review	41
3834	language model	41
3835	goal of	41
3836	text representation	41
3837	learning model	41
3838	artificial intelligence	41
3839	is able	41
3840	score of	41
3841	is presented	41
3842	contribution of	41
3843	of various	41
3844	sentiment and	41
3845	system to	41
3846	structure of	41
3847	word embedding	40
3848	advantage of	40
3849	to overcome	40
3850	develop a	40
3851	impact of	40
3852	feature extraction	40
3853	a variety	40
3854	text corpus	40
3855	of unstructured	40
3856	representation and	40
3857	topic and	40
3858	a topic	40
3859	in various	40
3860	conditional random	40
3861	semantic analysis	39
3862	to create	39
3863	of term	39
3864	aim at	39
3865	respect to	39
3866	is applied	39
3867	up to	39
3868	text categorization	39
3869	decision making	38
3870	on text	38
3871	a hybrid	38
3872	accuracy and	38
3873	document in	38
3874	concept of	37
3875	a case	37
3876	shared task	37
3877	to facilitate	37
3878	task and	37
3879	study is	37
3880	recall and	37
3881	opinion and	37
3882	extraction is	37
3883	in biomedical	37
3884	effect of	36
3885	medium llc	36
3886	challenging task	36
3887	available in	36
3888	task is	36
3889	a particular	36
3890	description of	36
3891	topic in	36
3892	mining task	36
3893	rely on	36
3894	a corpus	36
3895	a natural	36
3896	user to	36
3897	capable of	35
3898	a comprehensive	35
3899	and is	35
3900	extraction method	35
3901	approach in	35
3902	classification accuracy	35
3903	and classification	35
3904	relevant information	35
3905	a more	35
3906	random forest	35
3907	of existing	35
3908	u to	35
3909	interest in	35
3910	a word	35
3911	of concept	35
3912	work on	35
3913	study on	35
3914	a single	35
3915	ha a	35
3916	similarity and	35
3917	of web	35
3918	ontology and	35
3919	of language	35
3920	instead of	35
3921	characteristic of	34
3922	of interest	34
3923	on twitter	34
3924	technique in	34
3925	computational linguistics	34
3926	nature of	34
3927	and social	34
3928	value of	34
3929	widely used	34
3930	to get	34
3931	a collection	34
3932	tool to	34
3933	information of	33
3934	and more	33
3935	research is	33
3936	developed a	33
3937	detection and	33
3938	to train	33
3939	stop word	33
3940	a huge	33
3941	by applying	33
3942	vector space	33
3943	build a	33
3944	arabic text	33
3945	to reduce	33
3946	impact on	33
3947	document classification	33
3948	mining in	33
3949	play a	33
3950	possible to	33
3951	latent dirichlet	33
3952	document is	33
3953	lot of	33
3954	lead to	33
3955	way to	33
3956	and compare	33
3957	construction of	33
3958	in information	33
3959	and knowledge	33
3960	analysis in	33
3961	product review	33
3962	a wide	32
3963	and word	32
3964	on different	32
3965	challenge in	32
3966	model in	32
3967	term and	32
3968	dirichlet allocation	32
3969	sentence and	32
3970	text processing	32
3971	issue in	32
3972	language is	32
3973	mining approach	32
3974	huge amount	32
3975	to produce	32
3976	and recall	32
3977	analysis technique	31
3978	availability of	31
3979	some of	31
3980	to learn	31
3981	processing of	31
3982	on social	31
3983	semantic information	31
3984	to ass	31
3985	generated by	31
3986	to help	31
3987	considered a	31
3988	text clustering	31
3989	to recognize	31
3990	mining system	31
3991	of opinion	31
3992	recognition and	31
3993	problem in	31
3994	of extracting	30
3995	a framework	30
3996	data source	30
3997	of tweet	30
3998	to explore	30
3999	a dataset	30
4000	igi global	30
4001	is developed	30
4002	machine translation	30
4003	developed to	30
4004	web page	30
4005	research on	30
4006	stock market	30
4007	a sentence	29
4008	text to	29
4009	component of	29
4010	a user	29
4011	is often	29
4012	a major	29
4013	classification algorithm	29
4014	to study	29
4015	of sentence	29
4016	to measure	29
4017	review and	29
4018	is performed	29
4019	class of	29
4020	publicly available	29
4021	important role	29
4022	a machine	29
4023	step in	29
4024	many application	29
4025	is still	29
4026	of product	29
4027	and support	28
4028	technique is	28
4029	knowledge graph	28
4030	word vec	28
4031	a structured	28
4032	feature in	28
4033	domain knowledge	28
4034	useful information	28
4035	a lot	28
4036	bag of	28
4037	document representation	28
4038	mining algorithm	28
4039	semantic and	28
4040	conducted on	28
4041	us a	28
4042	to construct	28
4043	a key	28
4044	mining tool	28
4045	tool and	28
4046	biomedical domain	28
4047	previous work	28
4048	limitation of	28
4049	test set	28
4050	a model	28
4051	term in	28
4052	semantic relatedness	28
4053	research work	27
4054	valuable information	27
4055	obtained by	27
4056	analysis to	27
4057	precision recall	27
4058	document summarization	27
4059	clustering method	27
4060	construct a	27
4061	information to	27
4062	clustering algorithm	27
4063	challenge of	27
4064	automatically extract	27
4065	to mine	27
4066	to different	27
4067	designed to	27
4068	positive and	27
4069	and negative	27
4070	in english	27
4071	movie review	27
4072	a knowledge	27
4073	and on	27
4074	data to	27
4075	free text	27
4076	relies on	27
4077	different type	27
4078	comparison of	27
4079	different language	27
4080	pattern and	27
4081	text collection	27
4082	approach based	27
4083	online review	27
4084	to better	26
4085	future research	26
4086	and feature	26
4087	institute of	26
4088	a high	26
4089	make use	26
4090	entity in	26
4091	model based	26
4092	to enhance	26
4093	content and	26
4094	improvement of	26
4095	help of	26
4096	word to	26
4097	known a	26
4098	way of	26
4099	efficiency of	26
4100	system in	26
4101	space model	26
4102	problem and	26
4103	objective of	26
4104	article and	26
4105	meaning of	26
4106	textual content	26
4107	and clustering	26
4108	a combination	26
4109	sentiment lexicon	26
4110	a simple	26
4111	association rule	26
4112	a good	25
4113	dataset and	25
4114	at a	25
4115	solution to	25
4116	existing method	25
4117	automatic text	25
4118	of news	25
4119	become a	25
4120	of customer	25
4121	author and	25
4122	information on	25
4123	pair of	25
4124	classification task	25
4125	selection of	25
4126	data analysis	25
4127	generation of	25
4128	is essential	25
4129	is available	25
4130	expressed in	25
4131	applied in	25
4132	sentiment of	25
4133	dataset of	25
4134	a supervised	25
4135	method based	25
4136	structure and	25
4137	of speech	25
4138	english and	25
4139	framework to	25
4140	training set	25
4141	clustering and	25
4142	problem is	25
4143	and topic	25
4144	similarity of	25
4145	domain ontology	25
4146	topic of	25
4147	of review	25
4148	applied on	25
4149	news and	25
4150	in sentiment	25
4151	mining of	25
4152	a feature	25
4153	novel approach	25
4154	collection and	25
4155	retrieval system	25
4156	to apply	24
4157	a better	24
4158	document frequency	24
4159	evaluated on	24
4160	classification method	24
4161	document to	24
4162	is evaluated	24
4163	and evaluation	24
4164	published by	24
4165	propose to	24
4166	medium and	24
4167	is difficult	24
4168	review of	24
4169	supervised learning	24
4170	data science	24
4171	scientific literature	24
4172	on various	24
4173	event and	24
4174	by mean	24
4175	computer science	24
4176	identification and	24
4177	semantic representation	24
4178	area in	24
4179	web search	24
4180	necessary to	23
4181	performance in	23
4182	help to	23
4183	and analyze	23
4184	complexity of	23
4185	relevant to	23
4186	decision tree	23
4187	time and	23
4188	of precision	23
4189	to retrieve	23
4190	naive bayes	23
4191	a web	23
4192	domain of	23
4193	mining process	23
4194	use a	23
4195	a input	23
4196	implementation of	23
4197	recurrent neural	23
4198	search and	23
4199	entity extraction	23
4200	and extract	23
4201	to deal	23
4202	knowledge of	23
4203	a crucial	23
4204	information system	23
4205	wa used	23
4206	event extraction	23
4207	classification is	23
4208	recognition of	23
4209	network and	23
4210	a small	23
4211	is useful	23
4212	existing approach	23
4213	of medical	23
4214	found in	23
4215	used by	23
4216	domain and	23
4217	domain specific	23
4218	a common	23
4219	and relation	23
4220	ag part	23
4221	attention mechanism	22
4222	convolutional neural	22
4223	to demonstrate	22
4224	work in	22
4225	summarization and	22
4226	linguistic feature	22
4227	to tackle	22
4228	is of	22
4229	a deep	22
4230	to model	22
4231	is done	22
4232	application and	22
4233	to select	22
4234	technique of	22
4235	process and	22
4236	and relationship	22
4237	of classification	22
4238	issue of	22
4239	to implement	22
4240	of emotion	22
4241	different domain	22
4242	medium data	22
4243	processing task	22
4244	basis of	22
4245	of application	22
4246	pattern in	22
4247	degree of	22
4248	version of	22
4249	create a	22
4250	polarity of	22
4251	stored in	22
4252	is necessary	22
4253	important task	22
4254	developed in	22
4255	refers to	22
4256	chinese word	22
4257	of ontology	22
4258	web service	22
4259	proposed a	22
4260	rate of	22
4261	describes a	22
4262	knowledge extraction	22
4263	public opinion	22
4264	web and	22
4265	and provide	21
4266	of nlp	21
4267	term frequency	21
4268	literature and	21
4269	and some	21
4270	science and	21
4271	proposed in	21
4272	previous study	21
4273	followed by	21
4274	noun phrase	21
4275	series of	21
4276	long short-term	21
4277	short-term memory	21
4278	concept in	21
4279	open source	21
4280	try to	21
4281	measure of	21
4282	trained on	21
4283	approach of	21
4284	taylor francis	21
4285	francis group	21
4286	summary of	21
4287	in several	21
4288	focusing on	21
4289	is possible	21
4290	a higher	21
4291	online social	21
4292	main contribution	21
4293	is no	21
4294	in general	21
4295	corpus is	21
4296	employed to	21
4297	of similarity	21
4298	increase in	21
4299	a neural	21
4300	best of	21
4301	biomedical entity	21
4302	by combining	21
4303	semantic relationship	21
4304	based approach	21
4305	of entity	21
4306	model of	21
4307	mining natural	21
4308	and analysis	21
4309	contained in	21
4310	size of	21
4311	goal is	21
4312	extraction system	21
4313	group of	21
4314	source code	21
4315	first step	21
4316	to compare	21
4317	task a	20
4318	latent semantic	20
4319	transfer learning	20
4320	mining to	20
4321	of automatic	20
4322	produce a	20
4323	to investigate	20
4324	potential of	20
4325	consisting of	20
4326	useful in	20
4327	feature vector	20
4328	framework is	20
4329	and computational	20
4330	answering system	20
4331	deep neural	20
4332	knowledge representation	20
4333	a to	20
4334	in spanish	20
4335	topic detection	20
4336	provided by	20
4337	process is	20
4338	resource and	20
4339	in document	20
4340	analysis ha	20
4341	research and	20
4342	and thus	20
4343	medium text	20
4344	is constructed	20
4345	discovery of	20
4346	a methodology	20
4347	classification problem	20
4348	organization and	20
4349	active research	20
4350	a broad	20
4351	and service	20
4352	on three	20
4353	a part	20
4354	to integrate	20
4355	sentence in	20
4356	cosine similarity	20
4357	improvement in	20
4358	sentiment polarity	20
4359	trend in	20
4360	of human	20
4361	role of	20
